E168,LATIN CAPITAL LETTER K WITH DOT ABOVE,LATIN CAPITAL LETTER K WITH DOT ABOVE
E19E,LATIN CAPITAL LETTER L WITH DOT ABOVE,LATIN CAPITAL LETTER L WITH DOT ABOVE
E1B8,LATIN CAPITAL LETTER M WITH HIGH MACRON,LATIN CAPITAL LETTER M WITH HIGH MACRON
E1D2,LATIN CAPITAL LETTER M WITH HIGH OVERLINE,LATIN CAPITAL LETTER M WITH HIGH OVERLINE
E1DC,LATIN CAPITAL LETTER N WITH HIGH MACRON,LATIN CAPITAL LETTER N WITH HIGH MACRON
E208,LATIN CAPITAL LETTER O WITH OGONEK AND DOT BELOW,LATIN CAPITAL LETTER O WITH OGONEK AND DOT BELOW
E20C,LATIN CAPITAL LETTER O WITH OGONEK AND ACUTE,LATIN CAPITAL LETTER O WITH OGONEK AND ACUTE
E21B,LATIN CAPITAL LETTER O WITH MACRON AND BREVE,LATIN CAPITAL LETTER O WITH MACRON AND BREVE
E22D,LATIN CAPITAL LETTER O WITH DIAERESIS AND CIRCUMFLEX,LATIN CAPITAL LETTER O WITH DIAERESIS AND CIRCUMFLEX
E244,LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER E ABOVE,LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER E ABOVE
E246,LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER U ABOVE,LATIN CAPITAL LETTER O WITH LATIN SMALL LETTER U ABOVE
E24F,LATIN CAPITAL LETTER O WITH OGONEK AND CURL,LATIN CAPITAL LETTER O WITH OGONEK AND CURL
E252,LATIN CAPITAL LETTER O WITH STROKE AND MACRON,LATIN CAPITAL LETTER O WITH STROKE AND MACRON
E253,LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND BREVE,LATIN CAPITAL LETTER O WITH STROKE AND MACRON AND BREVE
E255,LATIN CAPITAL LETTER O WITH STROKE AND OGONEK,LATIN CAPITAL LETTER O WITH STROKE AND OGONEK
E257,LATIN CAPITAL LETTER O WITH STROKE AND OGONEK AND ACUTE,LATIN CAPITAL LETTER O WITH STROKE AND OGONEK AND ACUTE
E259,LATIN CAPITAL LIGATURE OE WITH ACUTE,LATIN CAPITAL LIGATURE OE WITH ACUTE
E25D,LATIN CAPITAL LIGATURE OE WITH MACRON,LATIN CAPITAL LIGATURE OE WITH MACRON
E260,LATIN CAPITAL LIGATURE OE WITH MACRON AND BREVE,LATIN CAPITAL LIGATURE OE WITH MACRON AND BREVE
E262,LATIN CAPITAL LIGATURE OE WITH OGONEK,LATIN CAPITAL LIGATURE OE WITH OGONEK
E268,LATIN CAPITAL LETTER P WITH DOUBLE ACUTE,LATIN CAPITAL LETTER P WITH DOUBLE ACUTE
E26D,LATIN CAPITAL LETTER P WITH DOT BELOW,LATIN CAPITAL LETTER P WITH DOT BELOW
E282,LATIN CAPITAL LETTER Q WITH DOT ABOVE,LATIN CAPITAL LETTER Q WITH DOT ABOVE
E288,LATIN CAPITAL LETTER Q WITH DOT BELOW,LATIN CAPITAL LETTER Q WITH DOT BELOW
E2E2,LATIN CAPITAL LETTER T WITH ACUTE,LATIN CAPITAL LETTER T WITH ACUTE
E2EE,LATIN CAPITAL LETTER T WITH OGONEK,LATIN CAPITAL LETTER T WITH OGONEK
E309,LATIN CAPITAL LETTER U WITH MACRON AND ACUTE,LATIN CAPITAL LETTER U WITH MACRON AND ACUTE
E30B,LATIN CAPITAL LETTER U WITH MACRON AND BREVE,LATIN CAPITAL LETTER U WITH MACRON AND BREVE
E315,LATIN CAPITAL LETTER U WITH DOT ABOVE,LATIN CAPITAL LETTER U WITH DOT ABOVE
E317,LATIN CAPITAL LETTER U WITH DIAERESIS AND CIRCUMFLEX,LATIN CAPITAL LETTER U WITH DIAERESIS AND CIRCUMFLEX
E324,LATIN CAPITAL LETTER U WITH VERTICAL LINE ABOVE,LATIN CAPITAL LETTER U WITH VERTICAL LINE ABOVE
E32B,LATIN CAPITAL LETTER U WITH LATIN SMALL LETTER E ABOVE,LATIN CAPITAL LETTER U WITH LATIN SMALL LETTER E ABOVE
E32D,LATIN CAPITAL LETTER U WITH LATIN SMALL LETTER O ABOVE,LATIN CAPITAL LETTER U WITH LATIN SMALL LETTER O ABOVE
E331,LATIN CAPITAL LETTER U WITH CURL,LATIN CAPITAL LETTER U WITH CURL
E337,LATIN CAPITAL LETTER THORN WITH DIAGONAL STROKE,LATIN CAPITAL LETTER THORN WITH DIAGONAL STROKE
E33A,LATIN CAPITAL LETTER V WITH ACUTE,LATIN CAPITAL LETTER V WITH ACUTE
E33B,LATIN CAPITAL LETTER V WITH CIRCUMFLEX,LATIN CAPITAL LETTER V WITH CIRCUMFLEX
E342,LATIN CAPITAL LETTER V WITH DIAERESIS,LATIN CAPITAL LETTER V WITH DIAERESIS
E34B,LATIN CAPITAL LETTER V WITH DOUBLE ACUTE,LATIN CAPITAL LETTER V WITH DOUBLE ACUTE
E34C,LATIN CAPITAL LETTER V WITH DOT ABOVE,LATIN CAPITAL LETTER V WITH DOT ABOVE
E34D,LATIN CAPITAL LETTER V WITH MACRON,LATIN CAPITAL LETTER V WITH MACRON
E34E,LATIN CAPITAL LETTER V WITH VERTICAL LINE ABOVE,LATIN CAPITAL LETTER V WITH VERTICAL LINE ABOVE
E350,LATIN CAPITAL LETTER W WITH DOUBLE ACUTE,LATIN CAPITAL LETTER W WITH DOUBLE ACUTE
E353,LATIN CAPITAL LETTER W WITH LATIN SMALL LETTER E ABOVE,LATIN CAPITAL LETTER W WITH LATIN SMALL LETTER E ABOVE
E357,LATIN CAPITAL LETTER W WITH MACRON,LATIN CAPITAL LETTER W WITH MACRON
E373,LATIN CAPITAL LETTER Y WITH MACRON AND ACUTE,LATIN CAPITAL LETTER Y WITH MACRON AND ACUTE
E375,LATIN CAPITAL LETTER Y WITH MACRON AND BREVE,LATIN CAPITAL LETTER Y WITH MACRON AND BREVE
E376,LATIN CAPITAL LETTER Y WITH BREVE,LATIN CAPITAL LETTER Y WITH BREVE
E37C,LATIN CAPITAL LETTER Y WITH DOUBLE ACUTE,LATIN CAPITAL LETTER Y WITH DOUBLE ACUTE
E384,LATIN CAPITAL LETTER Y WITH DOT ABOVE AND ACUTE,LATIN CAPITAL LETTER Y WITH DOT ABOVE AND ACUTE
E385,LATIN CAPITAL LETTER Y WITH CURL,LATIN CAPITAL LETTER Y WITH CURL
E39F,LATIN CAPITAL LETTER THORN WITH DOT BELOW,LATIN CAPITAL LETTER THORN WITH DOT BELOW
E3D3,LATIN CAPITAL LETTER O WITH CURL,LATIN CAPITAL LETTER O WITH CURL
E3D4,LATIN CAPITAL LETTER O WITH STROKE AND CURL,LATIN CAPITAL LETTER O WITH STROKE AND CURL
E3E5,LATIN CAPITAL LETTER INSULAR F WITH DOT BELOW,LATIN CAPITAL LETTER INSULAR F WITH DOT BELOW
E3E6,LATIN CAPITAL LETTER INSULAR V WITH DOT BELOW,LATIN CAPITAL LETTER INSULAR V WITH DOT BELOW
E3E7,LATIN CAPITAL LETTER INSULAR V WITH DOT ABOVE,LATIN CAPITAL LETTER INSULAR V WITH DOT ABOVE
E404,LATIN SMALL LETTER A WITH OGONEK AND ACUTE,LATIN SMALL LETTER A WITH OGONEK AND ACUTE
E40A,LATIN SMALL LETTER A WITH MACRON AND ACUTE,LATIN SMALL LETTER A WITH MACRON AND ACUTE
E410,LATIN SMALL LETTER A WITH MACRON AND BREVE,LATIN SMALL LETTER A WITH MACRON AND BREVE
E41A,LATIN SMALL LETTER A WITH DIAERESIS AND CIRCUMFLEX,LATIN SMALL LETTER A WITH DIAERESIS AND CIRCUMFLEX
E41D,LATIN SMALL LETTER A WITH DIAERESIS AND DOT BELOW,LATIN SMALL LETTER A WITH DIAERESIS AND DOT BELOW
E41F,LATIN SMALL LETTER A WITH RING ABOVE AND CIRCUMFLEX,LATIN SMALL LETTER A WITH RING ABOVE AND CIRCUMFLEX
E425,LATIN SMALL LETTER A WITH DOUBLE ACUTE,LATIN SMALL LETTER A WITH DOUBLE ACUTE
E42C,LATIN SMALL LETTER A WITH LATIN SMALL LETTER E ABOVE,LATIN SMALL LETTER A WITH LATIN SMALL LETTER E ABOVE
E42D,LATIN SMALL LETTER A WITH LATIN SMALL LETTER O ABOVE,LATIN SMALL LETTER A WITH LATIN SMALL LETTER O ABOVE
E42E,LATIN SMALL LETTER A WITH LATIN SMALL LETTER V ABOVE,LATIN SMALL LETTER A WITH LATIN SMALL LETTER V ABOVE
E433,LATIN SMALL LETTER A WITH CURL,LATIN SMALL LETTER A WITH CURL
E436,LATIN SMALL LETTER AE WITH DOT BELOW,LATIN SMALL LETTER AE WITH DOT BELOW
E43A,LATIN SMALL LETTER AE WITH MACRON AND ACUTE,LATIN SMALL LETTER AE WITH MACRON AND ACUTE
E43D,LATIN SMALL LETTER AE WITH MACRON AND BREVE,LATIN SMALL LETTER AE WITH MACRON AND BREVE
E43F,LATIN SMALL LETTER AE WITH BREVE,LATIN SMALL LETTER AE WITH BREVE
E440,LATIN SMALL LETTER AE WITH OGONEK,LATIN SMALL LETTER AE WITH OGONEK
E441,LATIN SMALL LETTER AE WITH DOUBLE ACUTE,LATIN SMALL LETTER AE WITH DOUBLE ACUTE
E442,LATIN SMALL LETTER AE WITH DIAERESIS,LATIN SMALL LETTER AE WITH DIAERESIS
E443,LATIN SMALL LETTER AE WITH DOT ABOVE,LATIN SMALL LETTER AE WITH DOT ABOVE
E444,LATIN SMALL LETTER B WITH ACUTE,LATIN SMALL LETTER B WITH ACUTE
E44D,LATIN SMALL LETTER B WITH MEDIUM-HIGH OVERLINE,LATIN SMALL LETTER B WITH MEDIUM-HIGH OVERLINE
E466,LATIN SMALL LETTER C WITH DOT BELOW,LATIN SMALL LETTER C WITH DOT BELOW
E476,LATIN SMALL LETTER C WITH OGONEK,LATIN SMALL LETTER C WITH OGONEK
E477,LATIN SMALL LETTER D WITH ACUTE,LATIN SMALL LETTER D WITH ACUTE
E48F,LATIN SMALL LETTER ETH WITH DOT BELOW,LATIN SMALL LETTER ETH WITH DOT BELOW
E491,LATIN SMALL LETTER D WITH MEDIUM-HIGH OVERLINE,LATIN SMALL LETTER D WITH MEDIUM-HIGH OVERLINE
E498,LATIN SMALL LETTER E WITH DOT BELOW AND ACUTE,LATIN SMALL LETTER E WITH DOT BELOW AND ACUTE
E499,LATIN SMALL LETTER E WITH OGONEK AND ACUTE,LATIN SMALL LETTER E WITH OGONEK AND ACUTE
E49F,LATIN SMALL LETTER E WITH OGONEK AND CIRCUMFLEX,LATIN SMALL LETTER E WITH OGONEK AND CIRCUMFLEX
E4B7,LATIN SMALL LETTER E WITH MACRON AND BREVE,LATIN SMALL LETTER E WITH MACRON AND BREVE
E4BC,LATIN SMALL LETTER E WITH OGONEK AND MACRON,LATIN SMALL LETTER E WITH OGONEK AND MACRON
E4C8,LATIN SMALL LETTER E WITH DOT ABOVE AND ACUTE,LATIN SMALL LETTER E WITH DOT ABOVE AND ACUTE
E4CD,LATIN SMALL LETTER E WITH DIAERESIS AND MACRON,LATIN SMALL LETTER E WITH DIAERESIS AND MACRON
E4CF,LATIN SMALL LETTER E WITH RING ABOVE,LATIN SMALL LETTER E WITH RING ABOVE
E4D1,LATIN SMALL LETTER E WITH DOUBLE ACUTE,LATIN SMALL LETTER E WITH DOUBLE ACUTE
E4E1,LATIN SMALL LETTER E WITH LATIN SMALL LETTER A ABOVE,LATIN SMALL LETTER E WITH LATIN SMALL LETTER A ABOVE
E4E2,LATIN SMALL LETTER E WITH LATIN SMALL LETTER I ABOVE,LATIN SMALL LETTER E WITH LATIN SMALL LETTER I ABOVE
E4E3,LATIN SMALL LETTER E WITH LATIN SMALL LETTER V ABOVE,LATIN SMALL LETTER E WITH LATIN SMALL LETTER V ABOVE
E4E8,LATIN SMALL LETTER E WITH OGONEK AND DOT BELOW,LATIN SMALL LETTER E WITH OGONEK AND DOT BELOW
E4E9,LATIN SMALL LETTER E WITH CURL,LATIN SMALL LETTER E WITH CURL
E4EA,LATIN SMALL LETTER E WITH OGONEK AND DOUBLE ACUTE,LATIN SMALL LETTER E WITH OGONEK AND DOUBLE ACUTE
E4EB,LATIN SMALL LETTER E WITH OGONEK AND DOT ABOVE,LATIN SMALL LETTER E WITH OGONEK AND DOT ABOVE
E4EC,LATIN SMALL LETTER E WITH OGONEK AND DOT ABOVE AND ACUTE,LATIN SMALL LETTER E WITH OGONEK AND DOT ABOVE AND ACUTE
E4EE,LATIN SMALL LETTER F WITH DOT BELOW,LATIN SMALL LETTER F WITH DOT BELOW
E4F0,LATIN SMALL LETTER F WITH ACUTE,LATIN SMALL LETTER F WITH ACUTE
E501,LATIN SMALL LETTER G WITH DOT BELOW,LATIN SMALL LETTER G WITH DOT BELOW
E516,LATIN SMALL LETTER H WITH ACUTE,LATIN SMALL LETTER H WITH ACUTE
E517,LATIN SMALL LETTER H WITH MEDIUM-HIGH OVERLINE,LATIN SMALL LETTER H WITH MEDIUM-HIGH OVERLINE
E52A,LATIN SMALL LETTER I WITH CURL,LATIN SMALL LETTER I WITH CURL
E535,LATIN SMALL LETTER I WITH MACRON AND ACUTE,LATIN SMALL LETTER I WITH MACRON AND ACUTE
E537,LATIN SMALL LETTER I WITH MACRON AND BREVE,LATIN SMALL LETTER I WITH MACRON AND BREVE
E543,LATIN SMALL LETTER I WITH DOUBLE ACUTE,LATIN SMALL LETTER I WITH DOUBLE ACUTE
E548,LATIN SMALL LETTER I WITH INVERTED BREVE BELOW,LATIN SMALL LETTER I WITH INVERTED BREVE BELOW
E54A,LATIN SMALL LETTER I WITH LATIN SMALL LETTER E ABOVE,LATIN SMALL LETTER I WITH LATIN SMALL LETTER E ABOVE
E54B,LATIN SMALL LETTER I WITH LATIN SMALL LETTER V ABOVE,LATIN SMALL LETTER I WITH LATIN SMALL LETTER V ABOVE
E550,LATIN SMALL LETTER I WITH MEDIUM-HIGH OVERLINE,LATIN SMALL LETTER I WITH MEDIUM-HIGH OVERLINE
E551,LATIN SMALL LETTER J WITH DOT BELOW,LATIN SMALL LETTER J WITH DOT BELOW
E552,LATIN SMALL LETTER J WITH MEDIUM-HIGH OVERLINE,LATIN SMALL LETTER J WITH MEDIUM-HIGH OVERLINE
E553,LATIN SMALL LETTER J WITH ACUTE,LATIN SMALL LETTER J WITH ACUTE
E554,LATIN SMALL LETTER J WITH MEDIUM-HIGH MACRON,LATIN SMALL LETTER J WITH MEDIUM-HIGH MACRON
E562,LATIN SMALL LETTER J WITH DOUBLE ACUTE,LATIN SMALL LETTER J WITH DOUBLE ACUTE
E563,LATIN SMALL LETTER J WITH CURL,LATIN SMALL LETTER J WITH CURL
E568,LATIN SMALL LETTER K WITH DOT ABOVE,LATIN SMALL LETTER K WITH DOT ABOVE
E58C,LATIN SMALL LETTER L WITH HIGH OVERLINE,LATIN SMALL LETTER L WITH HIGH OVERLINE
E596,LATIN SMALL LETTER L WITH HIGH MACRON,LATIN SMALL LETTER L WITH HIGH MACRON
E59E,LATIN SMALL LETTER L WITH DOT ABOVE,LATIN SMALL LETTER L WITH DOT ABOVE
E5A4,LATIN SMALL LETTER L WITH RING BELOW,LATIN SMALL LETTER L WITH RING BELOW
E5B1,LATIN SMALL LETTER L WITH MEDIUM-HIGH OVERLINE,LATIN SMALL LETTER L WITH MEDIUM-HIGH OVERLINE
E5B8,LATIN SMALL LETTER M WITH MEDIUM-HIGH MACRON,LATIN SMALL LETTER M WITH MEDIUM-HIGH MACRON
E5C5,LATIN SMALL LETTER M WITH RING BELOW,LATIN SMALL LETTER M WITH RING BELOW
